iter	Passed	Remaining
0	4	412
1	8	431
2	12	390
3	15	360
4	19	363
5	24	377
6	27	366
7	31	358
8	36	364
9	39	358
10	43	353
11	47	350
12	52	349
13	55	342
14	59	338
15	63	334
16	68	333
17	71	326
18	75	320
19	79	318
20	83	314
21	87	309
22	91	304
23	95	301
24	98	296
25	102	291
26	106	287
27	111	286
28	117	286
29	121	283
30	126	280
31	129	275
32	133	270
33	137	266
34	142	265
35	145	258
36	147	251
37	150	245
38	152	238
39	154	231
40	156	225
41	157	217
42	159	211
43	161	205
44	163	199
45	164	193
46	167	188
47	170	184
48	171	178
49	173	173
50	175	168
51	176	163
52	178	158
53	180	153
54	181	148
55	183	144
56	185	140
57	187	135
58	188	130
59	189	126
60	191	122
61	192	117
62	193	113
63	194	109
64	196	105
65	199	102
66	200	98
67	201	94
68	202	91
69	203	87
70	205	83
71	206	80
72	207	76
73	208	73
74	209	69
75	211	66
76	213	63
77	214	60
78	215	57
79	216	54
80	218	51
81	219	48
82	220	45
83	221	42
84	222	39
85	223	36
86	225	33
87	226	30
88	229	28
89	230	25
90	231	22
91	233	20
92	234	17
93	235	15
94	237	12
95	238	9
96	239	7
97	240	4
98	242	2
99	244	0
